customer_id,age,gender,location,income_bracket,acquisition_channel,product_category,purchase_frequency,recency_days,avg_order_value,total_monetary_value,email_opened,email_clicked,social_engaged,paid_ad_clicked,campaign_converted,cac,clv,churn_flag,last_purchase_date
CUST00001,58,Male,Mumbai,High (8-20L),Social Media,Electronics,8,588,11126.13,89009.04,0,0,1,0,0,812.19,245966.53,0,2023-05-23
CUST00002,53,Male,Kolkata,Mid (3-8L),Referral,Groceries,19,446,12198.63,231773.97,0,0,0,1,0,635.34,902303.64,0,2023-10-12
CUST00003,24,Male,Kolkata,Low (<3L),Paid Ads,Sports,28,378,9174.77,256893.56,0,0,1,0,1,1259.9,739879.55,0,2023-12-19
CUST00004,57,Female,Chennai,Low (<3L),Email,Groceries,22,497,11664.1,256610.2,0,0,0,0,0,1264.35,675789.57,0,2023-08-22
CUST00005,28,Female,Pune,Mid (3-8L),Paid Ads,Sports,23,31,9826.12,226000.76,0,0,0,0,0,1494.33,491522.18,0,2024-11-30
CUST00006,62,Other,Chennai,High (8-20L),Email,Sports,8,698,12134.17,97073.36,1,0,0,1,0,1597.85,360307.96,0,2023-02-02
CUST00007,47,Male,Hyderabad,Mid (3-8L),Social Media,Electronics,24,156,8222.97,197351.28,1,1,1,1,0,2993.11,547416.09,0,2024-07-28
CUST00008,21,Male,Bangalore,Mid (3-8L),Referral,Sports,20,665,5956.08,119121.6,1,1,0,0,1,1703.52,258144.01,0,2023-03-07
CUST00009,39,Male,Hyderabad,Premium (20L+),Social Media,Home & Kitchen,15,727,14321.09,214816.35,1,1,0,0,1,1035.65,665366.52,0,2023-01-04
CUST00010,30,Male,Pune,Mid (3-8L),Organic,Electronics,25,187,13801.85,345046.25,1,0,0,1,1,2528.66,782835.86,0,2024-06-27
CUST00011,33,Other,Delhi,Low (<3L),Referral,Home & Kitchen,27,660,14676.37,396261.99,0,0,0,1,1,662.36,1117135.65,0,2023-03-12
CUST00012,45,Male,Chennai,High (8-20L),Referral,Clothing,22,65,5789.28,127364.16,1,0,0,0,0,1146.64,378369.85,0,2024-10-27
CUST00013,55,Male,Mumbai,Low (<3L),Email,Home & Kitchen,8,661,13609.67,108877.36,1,0,0,1,1,799.86,199330.45,0,2023-03-11
CUST00014,54,Female,Chennai,Premium (20L+),Referral,Sports,7,634,1724.88,12074.16,1,0,1,1,1,351.68,37836.06,0,2023-04-07
CUST00015,24,Male,Kolkata,High (8-20L),Email,Home & Kitchen,8,534,3096.07,24768.56,1,0,0,1,0,2648.56,41820.78,0,2023-07-16
CUST00016,24,Male,Mumbai,Low (<3L),Social Media,Beauty,6,314,7438.92,44633.52,0,0,1,0,0,206.04,110515.02,0,2024-02-21
CUST00017,36,Female,Ahmedabad,Mid (3-8L),Social Media,Home & Kitchen,10,508,14540.03,145400.3,0,0,1,0,0,1535.01,552298.36,0,2023-08-11
CUST00018,28,Male,Delhi,Mid (3-8L),Email,Electronics,20,661,10225.62,204512.4,0,0,1,0,1,1795.09,602758.91,0,2023-03-11
CUST00019,57,Male,Kolkata,High (8-20L),Paid Ads,Electronics,7,45,10828.02,75796.14,0,0,1,1,0,2007.4,200333.85,0,2024-11-16
CUST00020,18,Female,Delhi,Low (<3L),Organic,Groceries,7,212,4198.45,29389.15,1,1,0,1,0,1426.92,83995.51,0,2024-06-02
CUST00021,57,Other,Mumbai,High (8-20L),Email,Sports,29,593,4187.65,121441.85,0,0,0,1,0,789.76,286262.82,0,2023-05-18
CUST00022,58,Female,Ahmedabad,High (8-20L),Email,Home & Kitchen,3,81,6526.56,19579.68,1,0,1,0,1,933.47,65652.18,0,2024-10-11
CUST00023,63,Female,Mumbai,Low (<3L),Email,Electronics,29,23,13587.75,394044.75,0,0,1,0,0,317.12,950289.66,0,2024-12-08
CUST00024,40,Male,Chennai,Low (<3L),Paid Ads,Beauty,25,157,13296.78,332419.5,1,1,0,0,1,2933.38,1172420.07,0,2024-07-27
CUST00025,19,Male,Pune,Premium (20L+),Social Media,Beauty,9,567,11874.41,106869.69,0,0,1,0,1,822.81,378475.43,0,2023-06-13
CUST00026,40,Female,Chennai,Mid (3-8L),Email,Home & Kitchen,22,533,6157.45,135463.9,1,1,1,1,1,1319.1,535471.76,0,2023-07-17
CUST00027,39,Male,Delhi,High (8-20L),Social Media,Home & Kitchen,19,459,862.38,16385.22,1,0,1,1,1,1631.98,40356.61,0,2023-09-29
CUST00028,30,Female,Mumbai,Premium (20L+),Email,Groceries,17,179,10396.8,176745.6,0,0,1,1,0,2059.87,411021.91,0,2024-07-05
CUST00029,60,Male,Hyderabad,High (8-20L),Referral,Clothing,11,318,10548.96,116038.56,0,0,0,1,1,1261.61,391088.98,0,2024-02-17
CUST00030,57,Other,Hyderabad,Premium (20L+),Organic,Beauty,27,730,4766.96,128707.92,0,0,1,1,0,1438.05,261824.54,0,2023-01-01
CUST00031,65,Male,Delhi,High (8-20L),Organic,Clothing,22,82,9403.13,206868.86,0,0,0,1,0,757.56,322935.42,0,2024-10-10
CUST00032,48,Other,Delhi,Premium (20L+),Referral,Electronics,29,86,8762.36,254108.44,1,0,0,0,0,2036.96,384685.12,0,2024-10-06
CUST00033,45,Male,Bangalore,Premium (20L+),Email,Home & Kitchen,18,475,13786.81,248162.58,0,0,1,0,1,2069.22,985138.72,0,2023-09-13
CUST00034,38,Female,Kolkata,Premium (20L+),Social Media,Groceries,24,244,6916.03,165984.72,0,0,1,1,1,968.87,281129.71,0,2024-05-01
CUST00035,33,Female,Pune,High (8-20L),Organic,Electronics,3,589,2517.21,7551.63,1,1,0,0,0,1126.47,20123.66,0,2023-05-22
CUST00036,31,Female,Kolkata,Low (<3L),Organic,Clothing,13,242,386.67,5026.71,1,0,1,1,0,2256.98,17591.83,0,2024-05-03
CUST00037,49,Male,Hyderabad,Premium (20L+),Referral,Home & Kitchen,1,332,5241.1,5241.1,1,1,1,0,1,1695.55,19744.91,1,2024-02-03
CUST00038,54,Other,Mumbai,Low (<3L),Referral,Beauty,5,258,2971.42,14857.1,1,0,0,1,0,2331.44,36367.44,0,2024-04-17
CUST00039,34,Male,Ahmedabad,Low (<3L),Organic,Electronics,2,372,3596.07,7192.14,0,0,0,0,0,2858.91,14372.78,1,2023-12-25
CUST00040,57,Male,Chennai,Mid (3-8L),Referral,Sports,22,613,8590.35,188987.7,0,0,1,1,1,669.81,570387.32,0,2023-04-28
CUST00041,63,Male,Bangalore,High (8-20L),Email,Clothing,19,704,13954.64,265138.16,1,0,0,0,0,1857.87,948247.83,0,2023-01-27
CUST00042,24,Other,Hyderabad,Low (<3L),Organic,Beauty,26,688,5403.9,140501.4,1,1,0,1,0,1376.16,382937.16,0,2023-02-12
CUST00043,41,Other,Ahmedabad,Mid (3-8L),Referral,Clothing,6,196,14492.46,86954.76,1,1,1,1,0,2246.87,188777.81,0,2024-06-18
CUST00044,23,Female,Ahmedabad,Mid (3-8L),Referral,Groceries,19,106,10122.37,192325.03,1,0,1,0,0,1193.51,412706.63,0,2024-09-16
CUST00045,56,Other,Hyderabad,Low (<3L),Organic,Electronics,7,643,3847.93,26935.51,1,0,0,1,1,1574.3,93798.39,0,2023-03-29
CUST00046,36,Male,Kolkata,Mid (3-8L),Paid Ads,Electronics,22,135,5724.6,125941.2,1,0,1,1,1,958.57,268067.0,0,2024-08-18
CUST00047,64,Male,Pune,Low (<3L),Organic,Groceries,25,24,3021.7,75542.5,0,0,1,1,1,2934.5,212394.7,0,2024-12-07
CUST00048,24,Male,Hyderabad,Mid (3-8L),Paid Ads,Clothing,6,421,507.98,3047.88,0,0,1,0,1,1749.41,9885.93,0,2023-11-06
CUST00049,58,Female,Delhi,Low (<3L),Organic,Beauty,10,250,7337.1,73371.0,1,0,0,1,1,1537.64,260855.12,0,2024-04-25
CUST00050,49,Male,Mumbai,Mid (3-8L),Social Media,Home & Kitchen,26,154,14252.15,370555.9,0,0,0,0,0,1762.6,941373.2,0,2024-07-30
CUST00051,57,Male,Kolkata,Premium (20L+),Referral,Sports,10,128,14853.46,148534.6,1,1,0,0,1,781.81,301163.26,0,2024-08-25
CUST00052,23,Male,Chennai,Mid (3-8L),Organic,Beauty,3,570,339.33,1017.99,1,1,1,1,0,1006.69,2246.5,0,2023-06-10
CUST00053,22,Other,Chennai,High (8-20L),Organic,Groceries,22,528,6549.54,144089.88,0,0,0,1,1,399.95,275904.31,0,2023-07-22
CUST00054,56,Other,Hyderabad,Premium (20L+),Email,Groceries,15,25,4770.14,71552.1,1,1,1,1,0,311.61,184609.55,0,2024-12-06
CUST00055,56,Female,Mumbai,Low (<3L),Social Media,Beauty,22,141,8930.71,196475.62,0,0,1,0,1,690.53,549622.79,0,2024-08-12
CUST00056,35,Male,Kolkata,Premium (20L+),Email,Beauty,16,374,6302.72,100843.52,1,1,0,1,0,1587.31,318308.42,0,2023-12-23
CUST00057,53,Male,Ahmedabad,Low (<3L),Paid Ads,Beauty,9,399,2004.05,18036.45,1,1,0,1,0,725.23,43367.71,0,2023-11-28
CUST00058,58,Female,Mumbai,Mid (3-8L),Paid Ads,Sports,18,596,13936.79,250862.22,1,1,1,0,0,1964.06,877587.37,0,2023-05-15
CUST00059,28,Female,Mumbai,Premium (20L+),Email,Beauty,8,614,7083.28,56666.24,0,0,0,1,1,1017.21,184931.92,0,2023-04-27
CUST00060,48,Female,Chennai,Premium (20L+),Organic,Home & Kitchen,5,338,3101.97,15509.85,0,0,0,1,1,2592.35,36443.31,0,2024-01-28
CUST00061,35,Male,Hyderabad,High (8-20L),Organic,Beauty,19,55,7497.71,142456.49,0,0,1,1,0,1745.37,407222.58,0,2024-11-06
